date,year,month,season,accession,sample,sheet,index,ct,hev,location,b,g,r,s,roost,region,species %,ff total
03-Aug-11,2011,Aug,Win,P11-74035,2,A,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,3,A,2,35.46,1,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,1,A,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,4,B,1,34.72,1,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,6,C,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,5,C,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,8,D,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,10,D,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,7,D,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,9,D,4,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,11,E,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,14,E,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,12,E,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,16,E,4,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,13,E,5,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,15,E,6,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,20,F,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,19,F,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,18,F,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,17,F,4,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,22,G,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,24,G,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,21,G,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,23,G,4,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,26,H,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,27,H,2,38.35,1,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,25,H,3,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,29,I,1,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,31,I,2,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,32,I,3,35.5,1,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,30,I,4,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
03-Aug-11,2011,Aug,Win,P11-74035,28,I,5,,0,Boonah,1,0,0,0,b,SEQ,"100,0,0,0",1000
10-Aug-11,2011,Aug,Win,P11-74485,2,A,1,,0,Boonah,1,1,0,0,bg,SEQ,"97,3,0,0",1000
10-Aug-11,2011,Aug,Win,P11-74485,1,A,2,38.34,1,Boonah,1,1,0,0,bg,SEQ,"97,3,0,0",1000
